vessel_class,year,emissions_co2_mt,n_unique_vessels,share_emissions,share_vessels
Tanker: oil,2024,180245315.47983935,12769,0.15822123945861113,0.025093888363738555
Cargo: container,2024,179761894.70052737,6855,0.1577968875985965,0.013471579977557192
Cargo: bulk carrier,2024,151508925.9413604,16806,0.132996133562019,0.033027479664890766
Cargo: general,2024,85550848.94867006,55952,0.07509743774122667,0.10995796395394311
Tanker: chemical,2024,70423545.66848482,6138,0.0618185313336705,0.012062517564149678
Tanker: liquefied gas,2024,70169270.72292992,2043,0.06159532610394309,0.004014943529416389
Fishing,2024,64284949.7767592,124182,0.056430007099691155,0.24404489347527458
Cargo: ro ro,2024,38320952.34706792,4051,0.03363853624404255,0.007961104374775228
Tug,2024,17915795.38631765,43041,0.015726674196018732,0.08458501441488536
Bunker,2024,8914482.569915248,3780,0.007825226844810495,0.007428529878215345
Supply vessel,2024,7135165.241456531,4556,0.0062633233226609165,0.008953540244748441
Specialized reefer,2024,3881332.744115749,463,0.0034070748296034076,9.098966491041546e-4
Dredge non fishing,2024,3302868.675385719,2712,0.002899292967461344,0.005329675404687834
Container reefer,2024,2800310.211439858,81,0.0024581418459786683,1.5918278310461453e-4
Seismic vessel,2024,2469197.2415885497,1249,0.002167487387907299,0.002454559211082266
Other not fishing,2024,2347178.049850433,1627,0.0020603776541361475,0.0031974121989038007
Patrol vessel,2024,2070491.884331383,4389,0.001817499619093006,0.008625348580816705
Cargo: refrigerated,2024,1942175.1735039195,122,0.0017048618566284147,2.397567844291725e-4
Dive vessel,2024,848445.8746695295,363,7.447747396174272e-4,7.133746946540133e-4
Tanker: other,2024,283676.13787245395,33,2.4901390651693137e-4,6.485224496854666e-5
Well boat,2024,206049.85939463772,98,1.8087274033670316e-4,1.9259151536113857e-4
Research,2024,91202.91261357148,65,8.005887885374039e-5,1.2773927039259192e-4
Passenger,2025,268857697.38408947,232497,0.22604238667479698,0.4387994292702813
Cargo: container,2025,186915291.1132824,7220,0.15714922399599915,0.013626549500988962
Tanker: oil,2025,179115998.25300327,13499,0.15059196047084655,0.025477117965907202
Cargo: bulk carrier,2025,155827618.85201618,17130,0.1310122314439073,0.03233002672464556
Cargo: general,2025,89617662.02237529,55481,0.07534614187673178,0.10471116244658846
Tanker: chemical,2025,72973721.10228948,6529,0.061352731363080795,0.012322401896392927
Tanker: liquefied gas,2025,70418533.62024452,2162,0.059204454849286665,0.004080415515393094
Fishing,2025,67117600.2005716,126595,0.0564291916684393,0.23892701303015204
Cargo: ro ro,2025,41832971.940416336,4300,0.03517111435200111,0.008115535021364619
Tug,2025,19118142.217648964,44460,0.01607359780922273,0.08391085745345835
Bunker,2025,9971218.175277583,3834,0.008383311976279098,0.007236037505095801
Supply vessel,2025,7154271.054969938,4587,0.006014960776345337,0.008657199800697558
Specialized reefer,2025,3825616.368242355,447,0.003216390911599191,8.436381754767405e-4
Dredge non fishing,2025,3431583.1206345703,2857,0.002885107051828413,0.005392112454892724
Container reefer,2025,2751094.079686825,79,0.0023129851880376736,1.4909936434600113e-4
Seismic vessel,2025,2467237.1964206276,1293,0.0020743322203456366,0.0024403225075870817
Other not fishing,2025,2354982.227920205,1645,0.0019799537396741683,0.003104663979103441
Patrol vessel,2025,2158612.747972446,4565,0.0018148558966540084,0.008615678458727787
Cargo: refrigerated,2025,2064960.0373451016,120,0.0017361172834964077,2.264800471078498e-4
Dive vessel,2025,853406.0616646487,348,7.175020274975842e-4,6.567921366127644e-4
Tanker: other,2025,285844.27439206734,35,2.403238688331195e-4,6.605668040645619e-5
Well boat,2025,211020.2506308615,97,1.7741549359909285e-4,1.8307137141217858e-4
Research,2025,87670.4977423044,68,7.370906149778935e-5,1.283386933611149e-4
