fishing,length_decile,month,n_s1_detections,n_s1_detections_unmatched,decile_min_m,decile_max_m
true,9,2018-03-01 00:00:00,18804,9796,30.572645,41.5105934
true,10,2018-03-01 00:00:00,20052,6389,41.5106,453.8493
false,1,2018-04-01 00:00:00,15266,11686,5.009999999999937,49.8269653
false,2,2018-04-01 00:00:00,14295,5783,49.82698059082031,70.19505
false,3,2018-04-01 00:00:00,14564,4406,70.1950684,85.2781372
false,4,2018-04-01 00:00:00,15259,4042,85.2781372,102.73096
false,5,2018-04-01 00:00:00,16136,3858,102.730965,124.4505844116211
false,6,2018-04-01 00:00:00,14832,3094,124.4506,148.219666
false,7,2018-04-01 00:00:00,13995,2503,148.219666,173.04274
false,8,2018-04-01 00:00:00,13999,2244,173.04277,196.13412
false,9,2018-04-01 00:00:00,14721,2298,196.1341552734375,239.60664
false,10,2018-04-01 00:00:00,13707,2426,239.60664,453.10022
true,1,2018-04-01 00:00:00,28428,23752,5.009999999999937,7.759999999999878
true,2,2018-04-01 00:00:00,23647,18778,7.759999999999878,10.819999999999814
true,3,2018-04-01 00:00:00,22275,16865,10.819999999999814,14.75999999999973
true,4,2018-04-01 00:00:00,21675,15843,14.75999999999973,18.280000000000058
true,5,2018-04-01 00:00:00,21450,14948,18.280000000000058,21.410000000000547
true,6,2018-04-01 00:00:00,20800,13798,21.410000000000547,23.4741764
true,7,2018-04-01 00:00:00,19689,12324,23.474182,26.025414
true,8,2018-04-01 00:00:00,18794,10973,26.025414,30.572640000000003
true,9,2018-04-01 00:00:00,18320,9508,30.572645,41.5105934
true,10,2018-04-01 00:00:00,17969,5793,41.5106,453.8493
false,1,2018-05-01 00:00:00,14486,10722,5.009999999999937,49.8269653
false,2,2018-05-01 00:00:00,14569,5721,49.82698059082031,70.19505
false,3,2018-05-01 00:00:00,14924,4357,70.1950684,85.2781372
false,4,2018-05-01 00:00:00,15703,3982,85.2781372,102.73096
false,5,2018-05-01 00:00:00,16258,3806,102.730965,124.4505844116211
false,6,2018-05-01 00:00:00,15346,3198,124.4506,148.219666
false,7,2018-05-01 00:00:00,14080,2406,148.219666,173.04274
false,8,2018-05-01 00:00:00,14254,2235,173.04277,196.13412
false,9,2018-05-01 00:00:00,14870,2278,196.1341552734375,239.60664
false,10,2018-05-01 00:00:00,14135,2252,239.60664,453.10022
true,1,2018-05-01 00:00:00,29468,24954,5.009999999999937,7.759999999999878
true,2,2018-05-01 00:00:00,23886,19408,7.759999999999878,10.819999999999814
true,3,2018-05-01 00:00:00,21997,17282,10.819999999999814,14.75999999999973
true,4,2018-05-01 00:00:00,21054,15881,14.75999999999973,18.280000000000058
true,5,2018-05-01 00:00:00,20045,14367,18.280000000000058,21.410000000000547
true,6,2018-05-01 00:00:00,18651,12672,21.410000000000547,23.4741764
true,7,2018-05-01 00:00:00,17506,11045,23.474182,26.025414
true,8,2018-05-01 00:00:00,16411,9281,26.025414,30.572640000000003
true,9,2018-05-01 00:00:00,16683,8033,30.572645,41.5105934
true,10,2018-05-01 00:00:00,17777,5176,41.5106,453.8493
false,1,2018-06-01 00:00:00,12871,9340,5.009999999999937,49.8269653
false,2,2018-06-01 00:00:00,13280,5287,49.82698059082031,70.19505
false,3,2018-06-01 00:00:00,13718,4177,70.1950684,85.2781372
false,4,2018-06-01 00:00:00,14705,3850,85.2781372,102.73096
false,5,2018-06-01 00:00:00,15095,3575,102.730965,124.4505844116211
false,6,2018-06-01 00:00:00,14290,3040,124.4506,148.219666
false,7,2018-06-01 00:00:00,13064,2281,148.219666,173.04274
false,8,2018-06-01 00:00:00,13493,2030,173.04277,196.13412
false,9,2018-06-01 00:00:00,13624,1991,196.1341552734375,239.60664
false,10,2018-06-01 00:00:00,12435,2043,239.60664,453.10022
true,1,2018-06-01 00:00:00,24383,19891,5.009999999999937,7.759999999999878
true,2,2018-06-01 00:00:00,19237,15151,7.759999999999878,10.819999999999814
true,3,2018-06-01 00:00:00,18465,14109,10.819999999999814,14.75999999999973
