imo,ship_name,mmsi,call_sign,consumption_value_1,consumption_speed_1,consumption_value_2,consumption_speed_2
9344239,DIANA J,304906000,V2BR7,36,18.4,NA,NA
9529205,SETIA KENTAL,533042700,9MII6,10,11.5,NA,NA
9426439,SAPURA CONQUEST,533020100,9MHZ3,11,10,14,12
9379038,HARRIS,563832000,S6HB2,36,14.5,NA,NA
9604172,EVER LUCKY,356407000,3FAE4,210,24.7,NA,NA
9230086,ENDURA,NA,T8A2442,65,21,NA,NA
9692715,IVS ISOGO,538011072,V7A6541,29.5,14.6,NA,NA
9450832,APHRODITE M,538003690,V7SN9,27.2,14,NA,NA
7633715,JOHNY C,NA,3FUM4,42,13,40,12
9190107,POLA DUDINKA,273292470,UBNW5,30,15.5,NA,NA
9210012,IBERICA HAV,311034400,C6YI3,4.2,10.1,NA,NA
9224324,MSC CAIRO IV,636024416,5LSM4,145.3,23.5,NA,NA
7909853,MNG CAPT JAMES COOK,NA,V4NK4,13,9,NA,NA
8114912,TRANSOCEAN,NA,5IM357,20,13.5,NA,NA
9772058,PACIFIC DEBBIE,538007363,V7FR6,32.6,14,NA,NA
8023864,BONNIE G,NA,YJWF8,8,10,NA,NA
9569712,DUNE,422209700,EPJH6,104,15.5,NA,NA
9836414,NOVA CAELI,372198000,3FBW5,29,14.5,NA,NA
9767443,IKUCHI ISLAND,563057700,9VPQ6,28.5,13.8,NA,NA
9659725,MARIA ENERGY,636017445,D5KZ6,81,19,NA,NA
9514080,AEGIR SELMER,538007638,V7YJ9,30,14,NA,NA
8320456,SIR WILFRID LAURIER,316052000,CGJK,7.5,11,NA,NA
9109914,MINGHAI,NA,3FCE6,27,14,21,12
9787754,TENMA,356999000,3FYC,85,15.1,NA,NA
9458327,SAGAR FORTUNE,419001287,AWVN,10.8,10,NA,NA
9388948,JAG AABHA,419746000,AUUQ,49.3,15,NA,NA
9326794,CARAT,NA,D6IM1,165.2,25,NA,NA
8223610,ALMUNIR,NA,YDYA,7,11.5,NA,NA
7358418,NAN HAI 201,NA,BXMK,16,11,NA,NA
9753583,FMG AMANDA,563240900,9VBO3,60,14,NA,NA
9012513,TANGO III,NA,NA,9.5,13,NA,NA
9659763,DL ACACIA,354161000,3FAP9,29,13.7,NA,NA
9713478,BULK PRUDENCE,636023066,5LLU2,27.7,15.28,NA,NA
9145047,NEW GOLDEN BRIDGE V,355928000,HPUO,89,24.9,NA,NA
9388601,HAI DUONG 02,574005730,XVXA7,12.5,12,39,15
9653422,AL YARMOUK,447188000,9KFN,65,14,90,15.5
9595149,MARMOR,538011082,V7A6555,26,14,29,14.5
9196448,BLACK ROCK,352986196,3E3938,18,13.8,NA,NA
9165085,DALARNA,210021000,5BNQ5,8,11.5,NA,NA
9583134,STAR NORITA,257854000,LAPJ7,32.4,14,NA,NA
9564138,VITOSHA,248721000,9HA2482,25.5,13.5,NA,NA
9734991,SPAR INDUS,258775000,LATP7,24.9,14.4,NA,NA
9251365,SEASWAN 1,NA,D6IJ6,170,24.5,NA,NA
9039561,WAN CHAI 4,NA,D6A2758,32.2,17.5,NA,NA
9750311,SPRING PROGRESS,374650000,3ENM9,37.5,14,NA,NA
8415639,AYSE A,NA,TCME,30,17,NA,NA
9155925,KONINGSBORG,246388000,PDHI,19,14.5,NA,NA
9306380,IRENA,229987000,9HA3776,12,12.4,NA,NA
9237125,AMMAR,525020202,YDZL,30.5,13.5,NA,NA
9569944,CS SONOMA,311033300,C6YE3,34,14,NA,NA
9505924,MTM HOUSTON,566306000,9V9704,24.7,14.5,NA,NA
9451721,NEPTUNE HORIZON,256488000,9HA3929,48,19.6,NA,NA
9637131,GOLDENEYE,210764000,5BZD3,23.3,13.5,25.5,14
9812133,BAUSTELLA,477103600,VRQZ3,11.28,13,NA,NA
8808537,TRIDENT,NA,J2IK,26,14,NA,NA
9229398,NEW CENTURY 1,355234000,H9LA,40,20,NA,NA
